fecha,canal,categoria,modelo,real,prediccion,error,error_abs
2025-08-13,Shein,Hogar,Baseline media movil 7d,3.0,4.857142,-1.8571419999999996,1.8571419999999996
2025-08-13,Shein,Calzado,Baseline media movil 7d,5.0,5.142857,-0.14285700000000023,0.14285700000000023
2025-08-13,Web Propia,Outlet,Baseline media movil 7d,1.0,1.0,0.0,0.0
2025-08-13,Shein,Belleza,Baseline media movil 7d,7.0,6.571428,0.42857199999999995,0.42857199999999995
2025-08-13,Miravia,Belleza,Baseline media movil 7d,1.0,1.285714,-0.285714,0.285714
2025-08-13,Amazon,Moda Mujer,Baseline media movil 7d,3.0,4.142857,-1.1428570000000002,1.1428570000000002
2025-08-13,Shein,Electronica,Baseline media movil 7d,1.0,3.142857,-2.142857,2.142857
2025-08-13,Web Propia,Moda Mujer,Baseline media movil 7d,6.0,4.428571,1.5714290000000002,1.5714290000000002
2025-08-13,Shein,Infantil,Baseline media movil 7d,3.0,2.0,1.0,1.0
2025-08-13,Miravia,Hogar,Baseline media movil 7d,5.0,3.428571,1.5714290000000002,1.5714290000000002
2025-08-13,Miravia,Calzado,Baseline media movil 7d,4.0,5.714285,-1.7142850000000003,1.7142850000000003
2025-08-13,Amazon,Calzado,Baseline media movil 7d,8.0,6.571428,1.428572,1.428572
2025-08-13,Web Propia,Hogar,Baseline media movil 7d,3.0,3.0,0.0,0.0
2025-08-13,Web Propia,Infantil,Baseline media movil 7d,4.0,3.0,1.0,1.0
2025-08-13,Shein,Accesorios,Baseline media movil 7d,3.0,2.571428,0.42857199999999995,0.42857199999999995
2025-08-13,Shein,Moda Hombre,Baseline media movil 7d,2.0,6.142857,-4.142857,4.142857
2025-08-13,Web Propia,Deporte,Baseline media movil 7d,2.0,2.571428,-0.571428,0.571428
2025-08-13,Miravia,Deporte,Baseline media movil 7d,1.0,1.857142,-0.8571420000000001,0.8571420000000001
2025-08-13,Web Propia,Belleza,Baseline media movil 7d,2.0,3.714285,-1.7142849999999998,1.7142849999999998
2025-08-13,Miravia,Accesorios,Baseline media movil 7d,10.0,9.142857,0.8571430000000007,0.8571430000000007
2025-08-13,Shein,Outlet,Baseline media movil 7d,5.0,4.428571,0.5714290000000002,0.5714290000000002
2025-08-13,Amazon,Electronica,Baseline media movil 7d,11.0,5.428571,5.571429,5.571429
2025-08-13,Amazon,Belleza,Baseline media movil 7d,4.0,4.571428,-0.571428,0.571428
2025-08-13,Amazon,Moda Hombre,Baseline media movil 7d,4.0,4.142857,-0.14285700000000023,0.14285700000000023
2025-08-13,Web Propia,Moda Hombre,Baseline media movil 7d,5.0,3.714285,1.2857150000000002,1.2857150000000002
2025-08-13,Web Propia,Calzado,Baseline media movil 7d,7.0,6.857142,0.14285800000000037,0.14285800000000037
2025-08-13,Shein,Moda Mujer,Baseline media movil 7d,5.0,4.0,1.0,1.0
2025-08-13,Web Propia,Electronica,Baseline media movil 7d,2.0,2.857142,-0.8571420000000001,0.8571420000000001
2025-08-13,Miravia,Moda Hombre,Baseline media movil 7d,8.0,3.0,5.0,5.0
2025-08-13,Web Propia,Accesorios,Baseline media movil 7d,5.0,5.714285,-0.7142850000000003,0.7142850000000003
2025-08-13,Miravia,Outlet,Baseline media movil 7d,5.0,5.857142,-0.8571419999999996,0.8571419999999996
2025-08-13,Miravia,Moda Mujer,Baseline media movil 7d,5.0,4.428571,0.5714290000000002,0.5714290000000002
2025-08-13,Amazon,Infantil,Baseline media movil 7d,1.0,1.428571,-0.42857100000000004,0.42857100000000004
2025-08-13,Amazon,Hogar,Baseline media movil 7d,4.0,7.571428,-3.571428,3.571428
2025-08-13,Shein,Deporte,Baseline media movil 7d,3.0,2.285714,0.714286,0.714286
2025-08-13,Amazon,Outlet,Baseline media movil 7d,3.0,3.142857,-0.1428569999999998,0.1428569999999998
2025-08-14,Shein,Electronica,Baseline media movil 7d,1.0,2.571428,-1.571428,1.571428
2025-08-14,Shein,Moda Mujer,Baseline media movil 7d,6.0,4.142857,1.8571429999999998,1.8571429999999998
2025-08-14,Web Propia,Outlet,Baseline media movil 7d,1.0,1.0,0.0,0.0
2025-08-14,Web Propia,Belleza,Baseline media movil 7d,2.0,3.285714,-1.285714,1.285714
2025-08-14,Amazon,Deporte,Baseline media movil 7d,3.0,1.0,2.0,2.0
2025-08-14,Shein,Moda Hombre,Baseline media movil 7d,2.0,5.428571,-3.428571,3.428571
2025-08-14,Miravia,Belleza,Baseline media movil 7d,1.0,1.285714,-0.285714,0.285714
2025-08-14,Miravia,Electronica,Baseline media movil 7d,1.0,4.714285,-3.7142850000000003,3.7142850000000003
2025-08-14,Miravia,Moda Hombre,Baseline media movil 7d,8.0,3.571428,4.428572,4.428572
2025-08-14,Shein,Hogar,Baseline media movil 7d,1.0,4.428571,-3.428571,3.428571
2025-08-14,Miravia,Calzado,Baseline media movil 7d,4.0,5.428571,-1.4285709999999998,1.4285709999999998
2025-08-14,Shein,Accesorios,Baseline media movil 7d,4.0,2.428571,1.5714290000000002,1.5714290000000002
2025-08-14,Amazon,Moda Hombre,Baseline media movil 7d,4.0,4.428571,-0.4285709999999998,0.4285709999999998
2025-08-14,Amazon,Belleza,Baseline media movil 7d,4.0,4.571428,-0.571428,0.571428
